Contestant Name,Instagram Handle
Yvie Oddly,oddlyyvie
Brooke Lynn Hytes,bhytes
Silky Nutmeg Ganache,silkyganache
Akeria C. Davenport,mizakeriachanel
Nina West,ninawest
Vanessa Vanjie Mateo,vanessavanjie
